Drug:0 CCC[N+]#[C-]
Drug:3225 CC1=C(SC(N)=N1)C1=N\C(=N/C2=CC=C(C=C2)N2CCOCC2)N=CC1
Drug:3226 CC(C)CN(C[C@@H](O)[C@H](Cc1ccc(OCc2csc(C)n2)cc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc2OCOc2c1
Drug:3227 CC1(C)N=C(N)N=C(N)N1OCCCOC1=CC=C(Br)C=C1
Drug:3228 [H][C@@]12CC3=CC=C(OC4=C5C(CC[N+](C)(C)[C@]5([H])CC5=CC(OC6=C(OC)C=C(CC[N+]1(C)C)C2=C6)=C(OC)C=C5)=CC(OC)=C4OC)C=C3
Drug:3229 CC(C)(COP([O-])(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@H](O)C[N+](C)(C)C
Drug:3230 C[N+]1=C(N)C=CNC1=O
Drug:3231 C(CCNCCCN)CNCCCN
Drug:3232 C1CN(C(=N1)N[N+](=O)[O-])CC2=CN=C(C=C2)Cl
Drug:3233 N[C@@H]1CCOC1=O
Drug:3234 CSC1=C2C=CC=CC2=C(S1)C(=O)N1CCC2(COC3=C2C=C(CN)C=C3)CC1
Drug:3235 C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)OP(=O)(O)O
Drug:3236 NC(=O)c1cn(cn1)[C@@H](CO)CCn1ccc2ccc(NC(=O)NCc3ccccc3)cc12
Drug:3237 CN1CCN(CC1)C1=C(F)C=C2C(=C1)N(C=C(C(O)=O)C2=O)C1=CC=C(F)C=C1
Drug:3238 [H][C@@](CC(C)C)(CC(=O)NO)C(=O)N[C@@]([H])(CC1=CNC2=CC=CC=C12)C(=O)NC
Drug:3239 [O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(O1)C=NN1CC(=O)NC1=O
Drug:3240 NC1=CC=CC(=C1)C1=C2N=C(NC3=CC=CC(Cl)=C3)C=CN2N=C1
Drug:3241 [H][C@@](O)([C@@]([H])(O)[C@@]([H])(OCC1=CC=C(C=C1)C1=CSC=C1)C(O)=N[C@@]([H])(C(C)C)C(O)=NC)[C@@]([H])(OCC1=CC=C(C=C1)C1=CSC=C1)C(O)=N[C@@]([H])(C(C)C)C(O)=NC
Drug:3242 CCC(NC(=O)C1=C(O)C(=NC2=CC=CC=C12)C1=CC=CC=C1)C1=CC=CC=C1
Drug:3243 CCOCCC1(OC2=CC=C(OC3=CC=C(F)C=C3)C=C2)C(=O)NC(=O)NC1=O
Drug:3244 [H][C@@](CCCC)(C(O)=O)C1=CNC2=C1C=CC=C2
Drug:3245 NC1=NC(=O)C2=C(NC=C2CCC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N1
Drug:3246 CNC(=O)C1=CC(NC2=C3C=NN(C3=NC=N2)C2=CC=CC=C2)=C(C)C=C1
Drug:3247 Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1
Drug:3248 COC1=CC=C(C=C1)C1C(=O)C2=CC=CC=C2C1=O
Drug:3249 CC(C)N1CCC(CC1)NC(=O)C1=CC2=C(C=CC=C2)N1CC(=O)NC1=CC=C(Cl)C=C1
Drug:3250 CC1=CC=C2C(=C1)N=C1N(CC[C@@]1(O)C2=O)C1=CC=CC=C1
Drug:3251 [H][C@@]12[C@H]3CC[C@H](C3)[C@]1([H])C(=O)N(C[C@@H]1CCCC[C@H]1CN1CCN(CC1)C1=NSC3=CC=CC=C13)C2=O
Drug:3252 [H][C@](N)(COP(=O)(OCC)OCC)C(O)=O
Drug:3253 CON[C@H]1C[C@@H](N(C1)S(=O)(=O)C1=CC=C(OC)C=C1)C(=O)NO
Drug:3254 C[C@](O)(C1=CC=C(C=C1)C(=O)N(C1CC1)C1CCN(CC2(CC2)C(N)=O)CC1)C(F)(F)F
Drug:3255 [H][C@]1(O)[C@@]([H])(O)[C@@]([H])(CO)O[C@@]([H])(OCCCCCC)[C@]1([H])O
Drug:3256 NCCCCCCNS(=O)(=O)C1=CC=CC2=C1C=CC=C2Cl
Drug:3257 [H][C@@]12CC[C@H](OC(=O)CCCCCC)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
Drug:3258 CC(S)C(=O)NCC(O)=O
Drug:3259 C([C@H]1CN(CCN1)C1=NN=C(C2=CC3=CC=CC=C3C=C2)C(=C1)C1=CC=NC=C1)C1=CC=CC=C1
Drug:3260 O=N[Fe--](C#N)(C#N)(C#N)(C#N)C#N
Drug:3261 OC1=CC=CC=C1Cl
Drug:3262 [H][C@](O)(CO)[C@@]1([H])O[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(O)[C@]1([H])O
Drug:3263 CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O)O
Drug:3264 [H][C@](CS)(CCCC1=CC=CC=C1)C(O)=O
Drug:3265 CO[C@H]1C[C@H](C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O
Drug:3266 C(=O)C(=O)O
Drug:3267 [H][C@]12NC(=O)C(=O)N1[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@]2([H])O
Drug:3268 CC1=CC(NC2=NC=NC3=CC=C(NC4=NC(C)(C)CO4)C=C23)=CC=C1OC1=CC2=NC=NN2C=C1
Drug:3269 CC(C)C[C@@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)NC(=O)C1=CC=C(N)C=C1
Drug:3270 CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=CC4=CC=CC=C4N=C13)C2=O
Drug:3271 [H][C@]1(O)[C@]([H])(O)[C@@]([H])(CO)O[C@@]([H])(OCCCCCCC)[C@]1([H])O
Drug:3272 C(CC1=CC=NC=C1)C1=CNC2=CC=CC=C12
Drug:3273 [H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2
Drug:3274 CCNC(NCC)=NCCCC[C@@H](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CC=CN=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN=C(NCC)NCC)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
Drug:3275 [H][C@]1(CO)O[C@@]([H])(N2C=C(I)C3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
Drug:3276 CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2
Drug:3277 CC(C)NCC(O)c1ccc(O)c(O)c1
Drug:3278 CN1C=NC2=CC(C#N)=C(C(CN)=C12)C1=C(Cl)C=CC=C1
Drug:3279 [H][C@@](C)(N1C(=O)[C@@]2([H])[C@@]3([H])CC[C@]([H])(C3)[C@@]2([H])C1=O)C(O)=O
Drug:3280 Cc1c(C)c2OC(C)(COc3ccc(CC4SC(=O)NC4=O)cc3)CCc2c(C)c1O
Drug:3281 CC1=C(CCCCCC(O)=O)C(=O)C2=CC=CC=C2C1=O
Drug:3282 FC1=CC=CC(F)=C1S(=O)(=O)N1CCN(CC1)S(=O)(=O)C1=CC=C2OCCOC2=C1
Drug:3283 [H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC
Drug:3284 CC(O)=O.CC(O)=O.[H][C@@](CO)(N=C(O)[C@]([H])(CC1=CNC2=CC=CC=C12)N=C(O)[C@]([H])(CC1=CN=CN1)N=C(O)[C@]1([H])CCC(O)=N1)C(O)=N[C@@]([H])(CC1=CC=C(O)C=C1)C(O)=N[C@]([H])(CC1=CN(CC2=CC=CC=C2)C=N1)C(O)=N[C@@]([H])(CC(C)C)C(O)=N[C@@]([H])(CCCNC(N)=N)C(=O)N1CCC[C@@]1([H])C(O)=NCC
Drug:3285 OC(=O)\C=C\C1=C(O)C=C(O)C=C1
Drug:3286 [H][C@](N)(CC1CCCCC1)[C@@]([H])(O)C[C@@]([H])(C(C)C)C(O)=O
Drug:3287 CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)O)CC=C(C)C)O)C
Drug:3288 [Tc+].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-]
Drug:3289 [H][C@](CO)(CCC1=CC=CC2=C1C=CC=C2)N1C=NC(=C1)C(N)=O
Drug:3290 OC1=CC2=C(C=C1)C(=NO2)C1=C(O)C=C(O)C=C1
Drug:3291 COC1=CC=C(C=C1)S(=O)(=O)N(CC1=CC=CN=C1)C1=C(C=CC=C1C)C(=O)NO
Drug:3292 C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)OP(=O)(O)O)O)N
Drug:3293 C(C(C(C(C(C=O)O)O)O)O)O.C(C(C(C(C(=O)CO)O)O)O)O
Drug:3294 CCOP(=O)(OCC)SCC[N+](C)(C)C
Drug:3295 [H]\C(CN=C(O)C1=C(O)C(O)=CC(=C1)N(=O)=O)=C(\[H])[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
Drug:3296 C1=CC(=CC=C1CC(=O)C(=O)O)O
Drug:3297 C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)C(=O)O
Drug:3298 [H]N(P(O)(=O)OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)N([H])C1=O)P(O)(=O)OP(O)(O)=O
Drug:3299 OC[C@@H](O)[C@@H](O)[C@@H](O)CN1C(=O)N(CCCOP(O)(O)=O)C2=C1NC(=O)NC2=O
Drug:3300 OC1=C(Br)C=C(\C=N\NC(=O)C2=CC=C(Cl)C=C2)C(O)=C1Br
Drug:3301 ON(CCOC1=CC=CC(=C1)C(=O)C1=CC=CC=C1)C=O
Drug:3302 CN1CCN2C1=NC1=C(Br)C(Br)=C(Br)C(Br)=C21
Drug:3303 CN(C1=CC=C(C=C1)C(=O)NO)S(=O)(=O)C1=CC=C(S1)C1=NC=CC=C1
Drug:3304 OC(=O)C1=CC=CC=C1OC(=O)C1=CC=CC=C1O
Drug:3305 CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=C(CC[Si](C)(C)C)C4=CC=CC=C4N=C13)C2=O
Drug:3306 NCCCCC1=CC=CC=C1
Drug:3307 BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1
Drug:3308 Oc1ccc(cc1)[C@@H]1CC(=O)c2c(O)cc(O)cc2O1
Drug:3309 ClCCN(CCCl)P1(=O)NCCCO1
Drug:3310 CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
Drug:3311 [H][C@](N)(CC1=CC=CC=C1)[C@]([H])(O)CNS(=O)(=O)C1=C(C)C=C(OC)C(C)=C1C
Drug:3312 [H][C@@](C)(NCC1=C(COP(O)(O)=O)C=NC(C)=C1O)C(O)=O
Drug:3313 [H][C@@](CC1CCCCC1)(NC1=NC2=CC=CC=C2O1)C(=O)NCCNC1=CC=C(OC)C=C1
Drug:3314 C[C@H](C/C=C/S(=O)(=O)C(C)(C)C)C1=CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C
Drug:3315 [Li+].[Li+].[Li+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O
Drug:3316 C1=CC=C(C(=C1)/C=C/C(=O)O)O
Drug:3317 [H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@]([H])(O)[C@@]1([H])[C@@]2([H])C=C(Cl)C2=CC(=O)C=C[C@]12C
Drug:3318 CCCCCC(/C=C/C1C(CC(C1C/C=C/CCCC(=O)O)O)O)O
Drug:3319 CN(C)C1=N[C@@H]2[C@@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]4NC(C)=O)[C@@H](O)[C@H]3NC(C)=O)[C@@H](CO)[C@@H]2O1
Drug:3320 OP(O)(=O)OC1=CC=C(C=C1)[N+]([O-])=O
Drug:3321 CCOc1ccccc1OCC1CNCCO1
Drug:3322 [H][C@]12OCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)C(C(O)=O)C1=CC=C(O)C=C1)OC)C(O)=O
Drug:3323 [H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=C(O)C=C1)C(O)=O
Drug:3324 CS(=O)(=O)CCNCC1=CC=C(O1)C1=CC2=C(C=C1)N=CN=C2NC1=CC(Cl)=C(OCC2=CC(F)=CC=C2)C=C1
Drug:3325 C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OC[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O
Drug:3326 COC1=CC=CC(=C1)C(N)=O
Drug:3327 [C-]#[O+]
Drug:3328 [H][C@]1(CO)O\C(=N/OC(=O)NC2=CC=CC=C2)[C@]([H])(NC(=O)CCCC)[C@@]([H])(O)[C@]1([H])O
Drug:3329 N[C@H]1CC[C@@H](CC1)Nc1cc(Nc2ccc(cc2)S(N)(=O)=O)n2ncnc2n1
Drug:3330 OC[C@@H](O)CS
Drug:3331 CCOC1=CC(=CC=C1)C1=CC=C(NC(=O)C(\C#N)=C(\C)O)C=C1
Drug:3332 [H][C@@](C)(CC)NC1=NC=C(S1)C(=O)NC1=C(C)C=CC(=C1)C(=O)NC
Drug:3333 N[C@@H](C(=O)N[C@H]1[C@H]2CCC(Cl)=C(N2C1=O)C(O)=O)C1=CC=CC=C1
Drug:3334 [H][C@](N)(CC1CCCCC1)[C@@]([H])(O)[C@@]([H])(O)CC(C)C
Drug:3335 [H][C@]12CCC[C@H](N1C(=O)[C@H](CCS2)NC(=O)[C@@H](S)CC1=CC=CC=C1)C(O)=O
Drug:3336 [H][C@]1(O)CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@@]([H])(O)CC[C@]4(C)[C@@]3([H])CC[C@]12C
Drug:3337 ClC1=CC=CC(=C1Cl)C1=NC2=CC=NN2C(NCC2=CC=NC=C2)=C1
Drug:3338 [H][C@@]1(C[C@](CC(C)C)(N(C(=O)C2=CC=C(C=C2)C(C)(C)C)[C@@]1([H])C1=NC=CS1)C(O)=O)C(O)=O
Drug:3339 CN1C(CCCO)=C(CO)C2=C1C(=O)C=C(N1CC1)C2=O
Drug:3340 OC(=O)CCC1=C(NC2=C1C(Cl)=CC(Cl)=C2)C(O)=O
Drug:3341 [H][C@]1(C)O[C@]([H])(O[C@]2([H])[C@@]([H])(CO)O[C@]([H])(OC[C@@]3([H])O[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)[C@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])N[C@@]1([H])C=C(CO)[C@@]([H])(O[C@@]2([H])O[C@]([H])(CO)[C@@]([H])(O[C@@]3([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O
Drug:3342 OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O
Drug:3343 C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)NC(=NC2=O)N
Drug:3344 C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C(=C3O)O)O)O)O)O
Drug:3345 C1=CC=C(C(=C1)C(=O)CCC(=O)O)C(=O)O
Drug:3346 OC(=O)CC1=CC(OCCCN(CC(C2=CC=CC=C2)C2=CC=CC=C2)CC2=C(Cl)C(=CC=C2)C(F)(F)F)=CC=C1
Drug:3347 OC(=O)C1=CC=CC=C1\N=N\C1=C2C=CC=CC2=C(O)C=C1
Drug:3348 CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1
Drug:3349 OCC1=C(O)C=CC(=C1)[C@@H](O)CNCCCCCCOCCOCC1=C(Cl)C=CC=C1Cl
Drug:3350 CC(=O)N1CCN(CC1)C1=CC=C(OC[C@@H]2CO[C@](CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1
Drug:3351 C[C@@](O)([C@H](CC(O)=O)C(O)=O)C(O)=O
Drug:3352 CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12
Drug:3353 O[As](O)O
Drug:3354 [H][C@]1(CO)OC[C@]([H])(O1)N1C=CC(=N)N=C1O
Drug:3355 NCCNC[C@@H](N)CCCNC(=N)N[N+]([O-])=O
Drug:3356 CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
Drug:3357 COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O
Drug:3358 [H][C@](CC)(NC=O)C1=CC=CC=C1
Drug:3359 CC(C)[N+](C)(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=C1)C(C)C
Drug:3360 [H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O
Drug:3361 [H][C@](CC(=O)NO)(CC1=CC(O)=CC=C1)C(=O)N[C@@]1([H])C2=C(C[C@@]1([H])O)C=CC=C2
Drug:3362 CCCNCCCNCCCNCC
Drug:3363 C(CC(=O)N[C@@H](CSCO)C(=O)NCC(=O)O)[C@@H](C(=O)O)N
Drug:3364 CC(C)[C@@H](N)C(=O)NO
Drug:3365 CCC1=CC(CC(O)=O)=C(NC2=C(F)C(F)=CC(F)=C2F)C=C1
Drug:3366 Nc1nccc2ccc(CN3CC[C@H](NS(=O)(=O)c4cc5ncccc5s4)C3=O)cc12
Drug:3367 CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1
Drug:3368 [H][C@@](CCCO)(C(=O)NO)[C@@]([H])(CC(C)C)C(=O)N[C@@]1([H])CCCCN(CCOC)C1=O
Drug:3369 OC(=O)CNC(=O)C1=C(O)C2=CC=CC(I)=C2C=N1
Drug:3370 CC(C)(SC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C)SC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
Drug:3371 NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O
Drug:3372 CC(C)(O)CNC1=NC(=NC(NC2=CC(=NC=C2)C(F)(F)F)=N1)C1=NC(=CC=C1)C(F)(F)F
Drug:3373 NS(=O)(=O)C1=CC=C(C=C1)C(=O)NCC1=C(F)C=C(F)C=C1
Drug:3374 CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)C1O[C@@H]1O[C@@H]([C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)C(O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)C(O)=O)[C@H]2NC(C)=O)[C@H](O)[C@H]1O)C(O)=O
Drug:3375 CC1=CC(F)=CC=C1C1=C2C=CC(=O)N(C2=NC(NC(CO)CO)=N1)C1=C(F)C=CC=C1F
Drug:3376 CCCCCCCC/C=C/CCCCCCCC=O
Drug:3377 CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
Drug:3378 COC1=C(C2=C(C=C1)C(=O)C=C(O2)C3=CC(=C(C(=C3)OC)OC)OC)OC
Drug:3379 CC1=CC(NC(=O)CC2=CC=C(OC(C)(C)C(O)=O)C=C2)=CC(C)=C1
Drug:3380 COC1=CN=C(O[C@@H]2C[C@H](N(C2)C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)N[C@@]2(C[C@H]2C=C)C(=O)NS(=O)(=O)C2CC2)C2=C1C=CC(Cl)=C2
Drug:3381 [H][C@@]1(CO[C@]2([H])[C@@]([H])(CO[C@]12[H])OC1=CC=CC(=C1)C(N)=N)OC1=CC=C(C=C1)C(N)=N
Drug:3382 CC(=O)[C@@H](N)COCC1=CC=CC=C1
Drug:3383 [H][C@]1(CC[C@](C)(CCC#CC(O)(C(F)(F)F)C(F)(F)F)C1(C)C)\C=C\C=C1C[C@](O)([H])C[C@@](O)([H])C1
Drug:3384 C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O
Drug:3385 OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=C(F)C(=O)NC1=O
Drug:3386 C[N+]1=CN([C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C2=C1C(=O)NC(N)=N2
Drug:3387 [H][C@@]12CC[C@](OC(=O)CCC)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
Drug:3388 ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1
Drug:3389 [Cr++].[O-]S([O-])(=O)=O
Drug:3390 COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)N(=O)=O)C(=O)OCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1
Drug:3391 C[C@]12CC[C@H]3[C@H]([C@@H]1CC=C2)CC[C@@H]4[C@@]3(CC[C@H](C4)O)C
Drug:3392 CS(=O)(=O)C1=CC=C(CN2CCN(CC2)C2=C(NN=C2)C2=CC(Cl)=C(O)C=C2O)C=C1
Drug:3393 [H]N(C(C)=O)[C@]([H])(CC1=C2C=CC=CC2=CC=C1)[B-](O)(O)O
Drug:3394 COC1=CC=C2NC=C(CCN(C)C)C2=C1
Drug:3395 CN1C(=O)C=C(C2=C1C3=C(C=C2)OCO3)OC
Drug:3396 [H][C@@](CC1=CC=CC=C1)(OC1=CC=C(Cl)C=C1)C(O)=O
Drug:3397 [H][C@@](CC1=CC=CC=C1)(NC(C)=O)C(O)(O)C(F)(F)F
Drug:3398 OC[C@@H]1NC[C@H](O)[C@H]1O
Drug:3399 NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)NP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
Drug:3400 COCCOC1=CN=C(NS(=O)(=O)C2=CC=CC=C2)N=C1
Drug:3401 N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1
Drug:3402 [H][C@](N)(CS[As](O)O)C(O)=O
Drug:3403 [H][C@]1(C[C@]1([H])C1=C(OC)C=CC(C(C)=O)=C1O)NC(=S)NC1=NC=C(C=C1)C#N
Drug:3404 [H][C@]12SCC(COC(N)=O)=C(N1C(=O)[C@]2(NC(=O)CC1=CC=CS1)OC)C(O)=O
Drug:3405 CCO[C@@H](CC1=CC=C(OCCC2=CC=C(OS(C)(=O)=O)C=C2)C=C1)C(O)=O
Drug:3406 [H][C@](N)(CC1=CC=C(C=C1)C1=CC=CC=C1)C(=O)N1CCC[C@@]1([H])CN
Drug:3407 CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
Drug:3408 ClC1=C(NC2=NC(NC3=CC(=CC=C3)N3CCOCC3)=NC=C2)C2=C(OCO2)C=C1
Drug:3409 CC(C)C[C@H](NC(=O)C1=CC=C(C=C1)[N+]([O-])=O)C(=O)N1CCC[C@H]1C(=O)NCCCCN=C(N)N
Drug:3410 CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(cc1)[C@@H]1CC(=O)NS1(=O)=O)C(N)=O
Drug:3411 C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C
Drug:3412 NC(=O)CS(=O)C(c1ccccc1)c1ccccc1
Drug:3413 [H][C@@]12CCCN1C(=O)[C@@H](CC)NC(=O)[C@@H](NC(=O)C1=NC=CC=C1O)[C@@H](C)OC(=O)[C@@H](NC(=O)[C@]1([H])CC(=O)[C@]([H])(CS[C@@H]3CN4CCC3CC4)CN1C(=O)[C@H](CC1=CC=C(C=C1)N(C)C)N(C)C2=O)C1=CC=CC=C1
Drug:3414 CN(C)CCC1=CNC2=C1C=C(CN1C=NC=N1)C=C2
Drug:3415 [H]N([H])C(=NCCC[C@H](N([H])C(=O)C1CCCC1)C(=O)C1=NC2=CC=CC=C2S1)N([H])[H]
Drug:3416 CCc1cc2CC(Cc2cc1CC)NC[C@H](O)c1ccc(O)c2[nH]c(=O)ccc12
Drug:3417 [H][C@@](CCC(O)=O)(NC(=O)C1=CC2=C(C=C1)C=C(C=C2)C(F)(F)P(O)(O)=O)C(N)=O
Drug:3418 [H][C@@]1(CCOC1)OC1=CC=C(CC2=C(Cl)C=CC(=C2)[C@]2([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]2([H])O)C=C1
Drug:3419 C[C@H]1C[C@H]([C@@](O[C@@H]1[C@H]2C[C@@H]([C@@H](O2)[C@@]3(CC[C@@H](O3)[C@@]4(CC[C@@]5(O4)C[C@@H]([C@H]([C@H](O5)[C@@H](C)[C@H]6[C@@H]([C@H]([C@@H]([C@](O6)(CC(=O)O)O)C)OC)OC)C)O)C)C)O[C@@H]7C[C@@H]([C@H]([C@@H](O7)C)OC)OC)(C)O)C
Drug:3420 OB(O)C1=CC=CC(NC(=O)CI)=C1
Drug:3421 OC1=CC2=C(C=C1)C(=NO2)C1=CC(Br)=C(O)C=C1O
Drug:3422 COC1=CC=C(C=C1CN[C@H]1CCCN[C@H]1C1=CC=CC=C1)N1N=NN=C1C(F)(F)F
Drug:3423 [H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=C
