Drug:0 CC1=CN=C2N1C=CN=C2NCC1=CC=NC=C1
Drug:2030 NC(N)=O
Drug:2031 [H][C@](N)(CCC(O)=N[C@@]([H])(CSCC1=CC=CC=C1)C(O)=NCC(O)=O)C(O)=O
Drug:2032 NC(=N)C1=CC2=C(C=C1)N=C(N2)C1=C(O)C=CC=N1
Drug:2033 CC(C)NCC(O)COC1=CC=C(NC(C)=O)C=C1
Drug:2034 ClC1=CC=C(\C=C\S(=O)(=O)N2CCN(CC3CCN(CC3)C3=CC=NC=C3)CC2)C=C1
Drug:2035 CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)C1=NC(C2=CC=CC=C2)=C(N=C1)C1=CC=CC=C1
Drug:2036 CCN1N=CC=C1C1=CNC2=NC=C(C=C12)C1=CC(C(=O)N(C)C)=C(N)C=C1
Drug:2037 [H][C@@](CC(O)=O)(C[N+](C)(C)C)OC(=O)CCCCCCC
Drug:2038 [H][C@]1(CO)O[C@@]([H])(N2C=CC(O)=NC2=O)[C@]([H])(OP(O)(=O)OC[C@@]2([H])O[C@@]([H])(N3C=NC4=C(N)N=CN=C34)[C@]([H])(O)[C@]2([H])O)[C@]1([H])O
Drug:2039 [H][C@](N)(CSC(=O)CCCCCCCCCCCCCCC)C(O)=O
Drug:2040 CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC=N1
Drug:2041 CCCS(=O)(=O)N1N=CC2=C(C=C(C)S2)B1O
Drug:2042 CC(=O)N[C@@H](CC1=CC=C(OP(O)(O)=O)C(C=O)=C1)C(=O)N[C@H]1CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O
Drug:2043 CC(C)N=C1C=C2N(C3=CC=C(Cl)C=C3)C3=C(C=CC=C3)N=C2C=C1NC1=CC=C(Cl)C=C1
Drug:2044 NCCO[P@@](O)(=O)OC[C@@H](O)CO
Drug:2045 [H][C@@]12C[C@@H](C)[C@](OC(=O)C3=CC=CO3)(C(=O)SCF)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
Drug:2046 COC1=CC=CC(=C1)N1C(CN2CCOCC2)=CC2=C(SC(=C2)S(N)(=O)=O)S1(=O)=O
Drug:2047 N[C@@H](CCCNC(N)=O)C(O)=O
Drug:2048 NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=NN1C1=CC=CC=C1
Drug:2049 OC(=O)C1=CC=C(NC(=O)NC(=O)C2=CC(F)=C(F)C=C2Cl)C(OC(F)(F)F)=C1
Drug:2050 CC1=CC=C2N=C3N(CC[C@@]3(O)C(=O)C2=C1)C1=CC=CC=C1
Drug:2051 NCC1(CCCC1)C1=CC=CC=C1
Drug:2052 [H]N(C1=CC=C(OC[C@@H](O)CN(C)C)C=C1)C1=NC=CC(=N1)C1=C(C)N=C2C=CC=CN12
Drug:2053 CCCCCCCCCCCC[N+](C)(C)C
Drug:2054 [H][C@@]([NH3+])(CC1=CC=CC=C1)C(=O)N1CCC[C@@]1([H])C(O)=N[C@@]([H])(CCCNC(N)=N)[C@]([H])(O)CCl
Drug:2055 CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F
Drug:2056 [H][C@@](CCC(O)=O)(NC(=O)N[C@@]([H])(CSCC1=CC=C(F)C=C1)C(O)=O)C(O)=O
Drug:2057 NC(=O)C1=CC=CC(O)=C1O
Drug:2058 C[C@@H](NC(=O)[C@H](CCC[C@@H](N)C(O)=O)NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@@H]1[C@@H](NC(C)=O)[C@@H]2OC[C@@H](O2)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(C)=O)C(O)=O)C(O)=O
Drug:2059 CCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(N=C2N)C#CC[C@H]1CC[C@@H](CC1)C(=O)OC
Drug:2060 N[C@@H]1CONC1=O
Drug:2061 NC#N
Drug:2062 CN(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1
Drug:2063 [H][C@@]12CC[C@@](O)(CC)[C@@]1(CC)C=CC1=C3CCC(=O)C=C3CC[C@@]21[H]
Drug:2064 OC(=O)CCCC(=O)NC1=CC=C(CC[N+]2([O-])CCCCC2)C=C1
Drug:2065 [H][C@](NOCCS)(C(O)=O)C1=CNC2=C1C=CC=C2
Drug:2066 COC1=CC=CC(=C1)C(N)=O
Drug:2067 NS(=O)(=O)OC1=CC=C(CN(N2C=NN=C2)C2=CC=C(C=C2)C#N)C=C1
Drug:2068 CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C2=CC=CC=C12
Drug:2069 CC1=CC(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)=CC=C1
Drug:2070 ClC1=CC=C(S1)\C=C\S(=O)(=O)N1CCN(CC2=CC3=C(N2)C=CN=C3)C(=O)C1
Drug:2071 NS(=O)(=O)C1=CC=C(NC2=NC(OCC3CCCCC3)=C3N=CNC3=N2)C=C1
Drug:2072 CCCC1=C(OCCCOC2=CC3=C(C=C2)N(CC(O)=O)C=C3)C=CC2=C1C=CC(=C2)C(=O)C1=CC=CC=C1
Drug:2073 [H][C@@](C)(N=C(O)[C@@]([H])(N=C(O)OCC1=CC=CC=C1)C(C)C)C(O)=N[C@@]([H])(CC(O)=O)C(=O)CF
Drug:2074 CC1=CC(Br)=C([O-])C(=C1)C1=CC2=CC(=CC=C2N1)C(N)=[NH2+]
Drug:2075 [H]\C(CCCCCC)=C(/[H])CCCCCCCCCC(O)=N[C@@]1([H])[C@]([H])(OC[C@@]2([H])O[C@]([H])(OP(O)(O)=O)[C@]([H])(N=C(O)CC(=O)CCCCCCCCCCC)[C@@]([H])(OCCCCCCCCCC)[C@]2([H])O)O[C@]([H])(COC)[C@@]([H])(OP(O)(O)=O)[C@]1([H])OCC[C@@]([H])(CCCCCCC)OC
Drug:2076 [H][C@]1(CC2=C(NC1=O)C=CC=C2)NC(=O)C1=CC2=C(N1)SC(Cl)=C2
Drug:2077 [H][C@]1(CO)O[C@@]2(N=C(O)N(C)C2=O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O
Drug:2078 NNC1=NN=CC2=CC=CC=C12
Drug:2079 CC(C)(C)NC[C@H](O)COC1=CC=CC=C1C1CCCC1
Drug:2080 NS(=O)(=O)C1=CC=C(F)C=C1
Drug:2081 CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2
Drug:2082 NOCC(O)=O
Drug:2083 OC(=O)CCP(O)(O)=O
Drug:2084 CCCC1=NN(C)C2=C1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(C)CC1
Drug:2085 [H][C@@]1(C)O[C@]([H])(OC)[C@@]([H])(O)[C@]([H])(O)[C@]1([H])O
Drug:2086 O[C@@H](COP(O)(O)=O)[C@@H](O)C(O)=O
Drug:2087 CC1=C(CCNC(=O)C2=CC=CS2)C2=CC=CC=C2N1
Drug:2088 ClCCNP1(=O)OCCCN1CCCl
Drug:2089 OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(O)C(=C1)C(O)=O
Drug:2090 CN1N=C(C=C1NS(O)(=O)=O)C1=CC=CC=C1
Drug:2091 [H]\C1=C2/[C@@]([H])(COC)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)[C@]([H])(O[C@@]2([H])O[C@]([H])(COC(C)(C)C=C)[C@@]([H])(O)[C@]([H])(OC(C)=O)[C@@]2([H])O)C2=C(C[C@]([H])(O)[C@]12C)[C@]([H])(C)COC(C)=O
Drug:2092 [H][C@@]12C[C@@](CO)(CO[C@]1([H])C1=CC=C(O)C=C1)CC=C2C
Drug:2093 [H][C@](O)(NC1=CC(=C(C=C1)C#N)C(F)(F)F)[C@@](C)(O)COC1=CC=C(C=C1)[N+]([O-])=O
Drug:2094 CC1=CN([C@H]2CC[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O
Drug:2095 N[C@@H](C[S@@](O)=O)C(O)=O
Drug:2096 [H]N([H])[C@H](COC1=CN=CC(=C1)C1=CC2=C(C=C1)C=NC=C2)CC1C=NC2=CC=CC=C12
Drug:2097 NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1
Drug:2098 [H][C@]1(O)CN(CC(=O)NC2=C(F)C=C(C=C2)N2C=CC=CC2=O)C[C@]1([H])NC(=O)C1=CC=C(Cl)S1
Drug:2099 CSCC[C@@H](N)C(O)=O
Drug:2100 [H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)[C@@H](OCCCO)[C@H](O)C1=C)[C@H](C)CCCC(C)(C)O
Drug:2101 CCOC(=O)C(C1=C(O)C2=CC=CC=C2OC1=O)C1=C(O)C2=CC=CC=C2OC1=O
Drug:2102 [H][C@@](C)(NC)C(=O)N[C@]([H])(C(=O)N1CCC[C@@]1([H])C(=O)N[C@]1([H])CCCC2=C1C=CC=C2)C(C)(C)C
Drug:2103 [H][C@@](CC1=CC=C(C=C1)C1=CC=CC=C1)(C[C@@]([H])(C)C(=O)OCC)NC(=O)CCC(O)=O
Drug:2104 NCCCCN
Drug:2105 CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1
Drug:2106 CC1=CC=CC=C1C1=NN=CC2=C1C=CC(=C2)C1=C(C)C=CC(=C1)C(=O)NC1CC1
Drug:2107 C1CN(CCO1)C1=C2N=CNC2=NC=N1
Drug:2108 [NH3+]CCCCOB1OCCO1
Drug:2109 CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1
Drug:2110 [H][C@@]1(CC[C@@]([H])(CC1)C(=O)NC1=CC(=CC=N1)C1=CC(NC2=CC=C(F)C=C2)=NC=C1)OC
Drug:2111 N[C@@H](CC1=CC=C(O)C(=C1)[N+]([O-])=O)C(O)=O
Drug:2112 C1COCCO1
Drug:2113 [H][C@]1(NC2=CC(Cl)=C(C=C2S(=O)(=O)N1)S(N)(=O)=O)C(Cl)Cl
Drug:2114 [H][C@]12SCC(CSC3=NN=C(C)S3)=C(N1C(=O)[C@H]2NC(=O)CN1C=NN=N1)C(O)=O
Drug:2115 COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1
Drug:2116 NCC1=CC=C(NC(=O)C2=CC(NC3=NC=CC=N3)=C3C=C(C=CC3=C2)C(N)=N)C=C1
Drug:2117 CC1=CC(OCC(O)CNC(C)(C)C)=C(Cl)C=C1
Drug:2118 NC(=O)C1=CN=CC(Br)=C1
Drug:2119 CN1CCC(CC1)=C1C2=NC=C(C=O)N2CCC2=CC=CC=C12
Drug:2120 CC[C@H](N1CCCC1=O)C(N)=O
Drug:2121 NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1
Drug:2122 CC(C)COC1=CC=C(CNC(=O)N(CC2=CC=C(F)C=C2)C2CCN(C)CC2)C=C1
Drug:2123 O=C1NC2=CC=CC=C2C1=O
Drug:2124 CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1/C[C@@H](O)CC[C@@H]1C
Drug:2125 CC(C)OP(=O)OC(C)C
Drug:2126 OC(=O)C(=O)N(C1=CC=CC=C1C(O)=O)C1=CC=CC2=C1C=CC=C2
Drug:2127 O[C@H](C[C@H](O)\C=C\C1=C(N=C2C=CC=CC2=C1C1=CC=C(F)C=C1)C1CC1)CC(O)=O
Drug:2128 COCCNC1=CC(=CC=C1C(N)=O)N1C2=C(C3=CC=CC=C13)C(=O)CCC2
Drug:2129 O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O
Drug:2130 [H][C@]1(CO)O[C@@]([H])(N=C(C)O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O
Drug:2131 NCCCNCCCCNCCCN
Drug:2132 COC1=CC(\C=C/C2=C(C)C3=C(N)N=C(N)N=C3N=C2)=C(OC)C=C1
Drug:2133 [H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(OC)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@@H]2O
Drug:2134 [H][C@]1(N)CC(=CC[C@]1([H])C1=CC(F)=C(F)C=C1F)C(=O)N1CCN2C(C1)=NN=C2C(F)(F)F
Drug:2135 [H][C@]1(CN)CN(CCO1)C1=C(C=NC2=C1C=NN2)C1=CC=CC=C1
Drug:2136 N[C@@H](CCC(=O)N[C@@H](CSCO)C(=O)NCC(O)=O)C(O)=O
Drug:2137 COCC1=C(C2=CC=C(F)C=C2)C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)=C(C(C)C)N=C1C(C)C
Drug:2138 CC(O)(CC(O)=O)CC(O)=O
Drug:2139 [H][C@@]1(CC[C@@]2([H])[C@]3([H])CCC4=CC(=O)CC[C@]4(C)[C@@]3([H])[C@@]([H])(C[C@]12C)OC(=O)CCC(O)=O)C(C)=O
Drug:2140 CC[N+](CC)(CC)CCC(O)(C1CCCCC1)C1=CC=CC=C1
Drug:2141 CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1=CC=C(C=C1)S(N)(=O)=O
Drug:2142 OB1OCC2=C1C=CC(OC1=CC=C(C=C1)C#N)=C2
Drug:2143 [H][C@@](C)(O)[C@]([H])(CCC1=CC=CC2=C1OC(=N2)C1=CC=C(Cl)C=C1)N1C=NC(=C1)C(N)=O
Drug:2144 CC1=CC2=C(C=C1)N(CCCN)C1=C2C2=C(C(=O)NC2=O)C(C)=C1
Drug:2145 [H][C@]1(N)CN(CCC2=CC=C3OCOC3=C2)C(=O)C[C@]1([H])C1=CC(F)=C(F)C=C1F
Drug:2146 NC1=C(OCC2=CC=CC3=CC=CC=C23)C=CC=N1
Drug:2147 COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1
Drug:2148 [H]N=C(C)N1CCC(CC1)OC1=CC2=C(C=C1)N=C(C)N2CC1=CC2=C(C=C1)C=CC(=C2)C(N)=[NH2+]
Drug:2149 [H][C@]1(SCC(=O)N1C1=CC(Cl)=CC=C1O)C1=CC=CC(Br)=C1
Drug:2150 CCOC(=O)NC1=C(N)N=C(NCC2=CC=C(F)C=C2)C=C1
Drug:2151 [H][C@@]12CC3=C(C=CC(=O)N3)[C@@](N)(CC(C)=C1)\C2=C\C
Drug:2152 [H][C@@]1(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C[C@@]([H])(O)[C@@]([H])(O1)N1C=NC2=C(N)N=CN=C12
Drug:2153 [O-][N+]1=CC=CC=C1C(F)(F)CNC1=NC=C(Cl)N(CC(=O)NCC2=C(F)C=CC=C2)C1=O
Drug:2154 [H][C@](C(=O)C1=CC2=CC=CC=C2C=C1)(C1=CC=CC2=CC=CC=C12)P(O)(O)=O
Drug:2155 N1C=C(C(=N1)C1=NC=CC=C1)C1=C2C=CC=CC2=NC=C1
Drug:2156 NCCNC1=CC(C2=CC=CN2)=C2C(=O)NC3=CC=C(F)C1=C23
Drug:2157 OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Drug:2158 NCC1=CC=CC(=C1)C1CCN(CC1)C(=O)C1=CC(CCC2=CC=CC=C2)=CN=C1
Drug:2159 CC1NCCOC1C1=CC=CC=C1
Drug:2160 [H]N[C@@H](CCCCN)C(=O)N[C@H]1CSSC[C@H](NC(=O)[C@@]([H])(NC(=O)[C@H](C)NC(=O)[C@@]([H])(NC(=O)[C@H](CC(N)=O)NC1=O)[C@@H](C)O)[C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@]([H])([C@@H](C)O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@@]([H])([C@@H](C)CC)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@]([H])([C@@H](C)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@]([H])([C@@H](C)O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(N)=O
Drug:2161 NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O
Drug:2162 O[C@@H]([C@H](CC(O)=O)C(O)=O)C(O)=O
Drug:2163 C[C@@]12OO[C@@](CCC(O)=O)(C3=C1C=CC=C3)C1=C2C=CC=C1
Drug:2164 FCCOC1=CC=CC(NC(=O)CCC(=O)NC2=CC=C3C(=O)NC(=O)C(=O)C3=C2)=C1
Drug:2165 O=C1C(CCS(=O)C2=CC=CC=C2)C(=O)N(N1C1=CC=CC=C1)C1=CC=CC=C1
Drug:2166 CC1=C(OC2=CC=C(Cl)C=C12)S(=O)(=O)C1=NNC(=O)C=C1
Drug:2167 CC1=NS(=O)(=O)C2=C(N1)C=CC(Cl)=C2
Drug:2168 NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O
Drug:2169 OC(=O)C1=C(C=C(OC2=C(NC(=O)C3=CC(=CC=C3)[N+]([O-])=O)C=C(NC(=O)C3=CC(=CC=C3)[N+]([O-])=O)C=C2)C=C1)C(O)=O
Drug:2170 CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O
Drug:2171 [H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)CCCCC)[C@@]1([H])C\C(O2)=C\CCCC(O)=O
Drug:2172 [H][C@]12OC[C@H](O[N+]([O-])=O)[C@@]1([H])OC[C@H]2O[N+]([O-])=O
Drug:2173 COC1=CC(CC(C)N)=CC2=C1OCO2
Drug:2174 CC(C)(C)C1=CC=C(C=C1)S(O)(=O)=O
Drug:2175 [H][C@]1(O)C=C(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])O
Drug:2176 [H][C@]1(O)[C@]([H])(O)[C@]([H])(O)[C@]([H])(OP([O-])([O-])=O)[C@@]([H])(O)[C@]1([H])O
Drug:2177 NC1=NCCS1
Drug:2178 CC1=CC2=C(C=C1C1(CC1)C1=CC=C(C=N1)C(O)=O)C(C)(C)CCC2(C)C
Drug:2179 [H][C@]1(CC2=C(O1)C=C1OC(=O)C(=CC1=C2)C(C)(C)C=C)C(C)(C)O
Drug:2180 CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1
Drug:2181 [H][C@]1(CCC2=C1C=CC=C2)N(C)CC#C
Drug:2182 [H]N([H])CCCCC1N([H])C(=O)C(CC2=CN([H])C3=CC=CC=C23)N([H])C(=O)C(CC2=CC=C(O)C=C2)N([H])C(=O)C(CSSCC(N([H])C(=O)C(N([H])C1=O)C(C)C)C(=O)N([H])C(C(C)O)C(=O)N([H])[H])N([H])C(=O)C(CC1=CC2=CC=CC=C2C=C1)N([H])[H]
Drug:2183 O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
Drug:2184 CN(C)CCCN1C2=CC=CC=C2CCC2=C1C=C(Cl)C=C2
Drug:2185 CCCCCCCCSCC(=O)C(F)(F)F
Drug:2186 [H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C(O)=CC(O)=NC2=O)[C@]([H])(O)[C@]1([H])O
Drug:2187 COC[C@@H](NC(C)=O)C(=O)NCC1=CC=CC=C1
Drug:2188 OC(=O)C1=CC=CC(\C=N\OCCO\N=C\C2=CC(=O)NC(=O)N2)=C1
Drug:2189 CC(C)C1=CC2=C(OC3=NC(N)=C(C=C3C2=O)C(O)=O)C=C1
Drug:2190 [H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H]
Drug:2191 CN1CCN(CC1)C1=CC=C(C=C1)C1=CC2=C(NC=C2NC(=O)C2=CN=CC=C2)N=C1
Drug:2192 CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC
Drug:2193 NC1=C(CC(O)=O)C=CC=C1C(=O)C1=CC=C(Br)C=C1
Drug:2194 [H][C@@](CC1=CC=C(C=C1)C(F)(F)P(O)(O)=O)(N=C(C)O)C(O)=N[C@@]1([H])CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O
Drug:2195 [H][C@]1(N)[C@@]([H])(O)[C@@]([H])(CO)O[C@@]([H])(OCCCCCC)[C@]1([H])O
Drug:2196 [H]C(C)=C1N(C)C(=O)CC[C@@]([H])(N=C(O)[C@@]([H])(C)[C@@]([H])(N=C(O)[C@@]([H])(N=C(O)[C@@]([H])(C)[C@@]([H])(N=C1O)C(O)=O)C(C)C)C([H])=C([H])C(\C)=C(/[H])[C@]([H])(C)[C@]([H])(CC1=CC=CC=C1)OC)C(O)=O
Drug:2197 C[C@@H]1CCCN(C1)C(C)=O
Drug:2198 OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O
Drug:2199 NC(=N)C1=CC=C(CC(=O)C(O)=O)C=C1
Drug:2200 [H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
Drug:2201 N[C@@H](CCNC(=N)NO)C(O)=O
Drug:2202 [Cu].C1CNCCNCCCNCCNC1
Drug:2203 [H][C@@](C)(N1CC[C@]([H])(NS(=O)(=O)C2=CC3=C(S2)C=CC(Cl)=C3)C1=O)C(=O)N1CCOCC1
Drug:2204 CC12CC3CC(C)(C1)CC(N)(C3)C2
Drug:2205 CN1C=CC(=O)C(O)=C1C
Drug:2206 [H][C@](CS)(CC1=CC=CC=C1)C1=NC2=C(N1)C=C[NH+]=C2
Drug:2207 [H][C@@]1(COC2=CC=CC=C2)CCCN1S(=O)(=O)C1=CC2=C(C=C1)N(C)C(=O)C2=O
Drug:2208 OC(=O)C1=C(CCC1)C(=O)NC1=C(F)C=C(C=C1F)C1=CC=CC(OC(F)(F)F)=C1
Drug:2209 [H][C@@](C)(C[C@]([H])(N)C(O)=O)C([O-])=O
Drug:2210 NC1=CC2=C(C=C1)C1=CC=C(N)C=C1C(C1=CC=CC=C1)=[N+]2CCCCCCC1=CN(CCNC2=C3CCCCC3=NC3=C2C=CC=C3)N=N1
Drug:2211 NC1=C(F)C=NC(=O)N1
Drug:2212 CCCN1C(=NC(=C1C1=CC=NC(NC2CC2)=N1)C1=CC=C(Cl)C(Cl)=C1)C1CCN(C)CC1
Drug:2213 [H][C@]1(C[C@]2(ON1)O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]2([H])O)C1=CC2=CC=CC=C2C=C1
Drug:2214 O\N=C1\C(\NC2=C\1C=CC=C2)=C1\C(=O)NC2=C1C=CC=C2
Drug:2215 [H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2
Drug:2216 [H][C@@](C)(O)[C@@]([H])(CCC1=CC=CC2=C1C=CC=C2)N1C=NC(=C1)C(N)=O
Drug:2217 CN(CS(O)(=O)=O)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1
Drug:2218 CCN(CC)CC1=C(O)C=CC(NC2=C3C=CC(Cl)=CC3=NC=C2)=C1
Drug:2219 OC1=CC2=C(C=C1)N=C(S2)C1=NC(=O)CS1
Drug:2220 [H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1(O)CCC2=O
Drug:2221 O[C@H](COP(O)(O)=O)C(O)=O
Drug:2222 CNC1=NC(C)=C(S1)C1=CC=NC(NC2=CC=C(O)C=C2)=N1
Drug:2223 [H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@]([H])(CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCC(O)=O)C(C)=O
Drug:2224 OCC(=O)COP(O)(O)=O
Drug:2225 CC1=C(F)C=CC(CNC(=O)C2=CC(=NC=N2)C(=O)NCC2=CC(C)=C(F)C=C2)=C1
Drug:2226 CC(=O)NO
Drug:2227 [H][C@@](CCC(O)=O)(NC(=O)C1=CC=C(NC[C@]2([H])CNC3=C(N2C=O)C(O)=NC(=N)N3)C=C1)C(O)=O
Drug:2228 [H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CCC=CC1)C(O)=O
Drug:2229 CN1C(C(=O)NC2=NC=CC=C2)=C(O)C2=C(C=CC=C2)S1(=O)=O
Drug:2230 [H][C@](N)(CC1=CC=C(C=C1)C(=O)C1=CC=CC=C1)C(O)=O
Drug:2231 O=C1C(C(=O)C2=CC=CC=C12)C1=CC=CC=C1
Drug:2232 CC(C)NC(=O)C[C@H]1CCCN(C(=O)C2=C(Cl)C=C(C=C2)N2CCCC2)C2=CC=CC=C12
Drug:2233 [H][C@@](CC1CCCCC1)(NC(=O)N1CCOCC1)C(=O)NC1(CCN(C)CC1)C#N
Drug:2234 NC1=NC2=C(C(N)=N1)C(SC1=CC=CC=C1)=CC=C2
Drug:2235 ClC1=CC=C2CCNCC2=C1Cl
Drug:2236 [H][C@]1(C=CC2=C(Cl)N=C(OCC3=CC=C(F)C=C3)C(=O)N12)C(=O)N1CCCC1
Drug:2237 [H][C@@](C)(N=C(O)CN=C(O)[C@]([H])(NC(N)=N)C1CCCCC1)C(O)=NCCCS
Drug:2238 OC(=O)CCCC[C@@H]1CCSS1
Drug:2239 [H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OS(O)(=O)=O)[C@H](C)CCCC(C)C
Drug:2240 CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=C(C=CC=C2)S1(=O)=O
Drug:2241 OP(O)(=O)OC1=C(C=C2C=CC=CC2=C1)C(=O)NC1=CC=C(Cl)C=C1
Drug:2242 ClC1=CC=C(C=C1)C(=O)NCCN1CCOCC1
Drug:2243 FC1=CC=C(C(F)=C1)C1=C2CNC(=O)N(C2=CC(=C1)N1CCNCC1)C1=C(Cl)C=CC=C1Cl
Drug:2244 [H][C@]12CC=C(C)[C@]([H])(C1)[C@@]([H])(OC2(C)C)C1=CC=C(O)C=C1
